Entity,Year,Annual COâ‚‚ emissions
Afghanistan,2022,12147948
Africa,2022,1416626600
Africa (GCP),2022,1416608800
Albania,2022,4954730
Algeria,2022,176345140
Andorra,2022,368645
Angola,2022,16070269
Anguilla,2022,138967
Antigua and Barbuda,2022,602192
Argentina,2022,192864430
Armenia,2022,6407760
Aruba,2022,865874
Asia,2022,21772347000
Asia (GCP),2022,19102590000
Asia (excl. China and India),2022,7545927700
Australia,2022,392279260
Austria,2022,61488424
Azerbaijan,2022,38062656
Bahamas,2022,2120000
Bahrain,2022,37795670
Bangladesh,2022,102103340
Barbados,2022,1232837
Belarus,2022,58801130
Belgium,2022,89605360
Belize,2022,725231
Benin,2022,8432160
Bermuda,2022,445408
Bhutan,2022,1055528
Bolivia,2022,21493740
Bonaire Sint Eustatius and Saba,2022,110461
Bosnia and Herzegovina,2022,19735710
Botswana,2022,7467293
Brazil,2022,483477300
British Virgin Islands,2022,156784
Brunei,2022,10753688
Bulgaria,2022,46147496
Burkina Faso,2022,5962168
Burundi,2022,798451
Cambodia,2022,19955042
Cameroon,2022,9572651
Canada,2022,547943900
Cape Verde,2022,568778
Central African Republic,2022,226226
Central America (GCP),2022,161835580
Chad,2022,2369204
Chile,2022,84377720
China,2022,11396777000
Colombia,2022,99717870
Comoros,2022,412760
Congo,2022,7431930
Cook Islands,2022,68043
Costa Rica,2022,7888694
Cote d'Ivoire,2022,11734159
Croatia,2022,17526086
Cuba,2022,20921022
Curacao,2022,1756690
Cyprus,2022,7029358
Czechia,2022,97969300
Democratic Republic of Congo,2022,3601595
Denmark,2022,29059308
Djibouti,2022,453036
Dominica,2022,153220
Dominican Republic,2022,23637946
East Timor,2022,668892
Ecuador,2022,41613410
Egypt,2022,258951660
El Salvador,2022,7714380
Equatorial Guinea,2022,5076202
Eritrea,2022,696826
Estonia,2022,10311845
Eswatini,2022,1265046
Ethiopia,2022,19073260
Europe,2022,5105307600
Europe (GCP),2022,5105307600
Europe (excl. EU-27),2022,2343400700
Europe (excl. EU-28),2022,2024746400
European Union (27),2022,2761907000
European Union (28),2022,3080561400
Faroe Islands,2022,748133
Fiji,2022,1073925
Finland,2022,36163000
France,2022,297533920
French Polynesia,2022,873217
Gabon,2022,5705554
Gambia,2022,770472
Georgia,2022,11092909
Germany,2022,665604700
Ghana,2022,20806944
Greece,2022,59662764
Greenland,2022,591718
Grenada,2022,340416
Guatemala,2022,19193244
Guinea,2022,4953613
Guinea-Bissau,2022,326745
Guyana,2022,3537124
Haiti,2022,2446681
High-income countries,2022,12614069000
Honduras,2022,11159723
Hong Kong,2022,30568888
Hungary,2022,44353616
Iceland,2022,3542503
India,2022,2829644300
Indonesia,2022,728883260
International aviation,2022,424853700
International shipping,2022,624487800
Iran,2022,690635260
Iraq,2022,179080800
Ireland,2022,38784012
Israel,2022,56118090
Italy,2022,338097280
Jamaica,2022,6487594
Japan,2022,1053797800
Jordan,2022,22912578
Kazakhstan,2022,271178270
Kenya,2022,24851922
Kiribati,2022,68043
Kosovo,2022,8017524.5
Kuwait,2022,109190000
Kyrgyzstan,2022,9449704
Laos,2022,23193406
Latvia,2022,6591454
Lebanon,2022,23904522
Lesotho,2022,3134694
Liberia,2022,876934
Libya,2022,62961304
Liechtenstein,2022,149934
Lithuania,2022,12667216
Low-income countries,2022,197079330
Lower-middle-income countries,2022,5672113700
Luxembourg,2022,7524108
Macao,2022,1051646
Madagascar,2022,4403593
Malawi,2022,2094072.1
Malaysia,2022,291071360
Maldives,2022,1701072
Mali,2022,7038757
Malta,2022,1655127
Marshall Islands,2022,151206
Mauritania,2022,4534088
Mauritius,2022,4249021
Mexico,2022,511971970
Micronesia (country),2022,151206
Middle East (GCP),2022,2677581300
Moldova,2022,5422021
Mongolia,2022,37894484
Montenegro,2022,2292498
Montserrat,2022,21380
Morocco,2022,68411810
Mozambique,2022,8003215
Myanmar,2022,34922210
Namibia,2022,3952970
Nauru,2022,52922
Nepal,2022,15499952
Netherlands,2022,125358230
New Caledonia,2022,5115215
New Zealand,2022,32211814
Nicaragua,2022,5550354
Niger,2022,3058157
Nigeria,2022,128759470
Niue,2022,7560
Non-OECD (GCP),2022,24332601000
North America,2022,6279689000
North America (GCP),2022,6117871600
North America (excl. USA),2022,1222385900
North Korea,2022,50871636
North Macedonia,2022,7588422
Norway,2022,40808000
OECD (GCP),2022,11767842000
Oceania,2022,441077630
Oceania (GCP),2022,433254500
Oman,2022,71986390
Pakistan,2022,200199900
Palau,2022,219249
Palestine,2022,3496896
Panama,2022,11899901
Papua New Guinea,2022,7823140
Paraguay,2022,9018049
Peru,2022,60921110
Philippines,2022,150395980
Poland,2022,323117300
Portugal,2022,41605030
Qatar,2022,101340350
Romania,2022,73521290
Russia,2022,1652177300
Rwanda,2022,1547760
Saint Helena,2022,17816
Saint Kitts and Nevis,2022,224486
Saint Lucia,2022,470351
Saint Pierre and Miquelon,2022,60576
Saint Vincent and the Grenadines,2022,238739
Samoa,2022,249491
Sao Tome and Principe,2022,132255
Saudi Arabia,2022,662549400
Senegal,2022,11668435
Serbia,2022,43506644
Seychelles,2022,658828
Sierra Leone,2022,1129488
Singapore,2022,53252430
Sint Maarten (Dutch part),2022,634261
Slovakia,2022,34151680
Slovenia,2022,12714800
Solomon Islands,2022,298633
Somalia,2022,646921
South Africa,2022,404053980
South America,2022,1085392400
South America (GCP),2022,1085392400
South Korea,2022,600999360
South Sudan,2022,1833605
Spain,2022,245613820
Sri Lanka,2022,17327094
Sudan,2022,22013348
Suriname,2022,3586520
Sweden,2022,38050544
Switzerland,2022,35380164
Syria,2022,27635256
Taiwan,2022,277900930
Tajikistan,2022,10017384
Tanzania,2022,15569999
Thailand,2022,270746370
Togo,2022,2575560
Tonga,2022,189008
Trinidad and Tobago,2022,34331736
Tunisia,2022,35576780
Turkey,2022,435684600
Turkmenistan,2022,70958350
Turks and Caicos Islands,2022,349200
Tuvalu,2022,11340
Uganda,2022,6021782
Ukraine,2022,141253000
United Arab Emirates,2022,243895220
United Kingdom,2022,318654370
United States,2022,5057303600
Upper-middle-income countries,2022,17616728000
Uruguay,2022,7893098
Uzbekistan,2022,120610190
Vanuatu,2022,207909
Venezuela,2022,76892000
Vietnam,2022,343606620
Wallis and Futuna,2022,26461
World,2022,37149786000
Yemen,2022,11356347
Zambia,2022,8921889
Zimbabwe,2022,8855981